rule_id,frozen_scope,workspace_runtime_state,workspace_artifact,mapping_statuses,next_action
MURPHY_0031,True,FROZEN_ARTIFACT_RECOVERY_REQUIRED,freeze/closure artifact not yet located in reconstructed workspace,NOT_EVALUABLE | PARTIAL,Recover exact evaluator/closure artifact from freeze backups/GitHub/Dropbox before implementation; do not recreate semantics.
MURPHY_0032,True,FROZEN_ARTIFACT_RECOVERY_REQUIRED,freeze/closure artifact not yet located in reconstructed workspace,EVALUATABLE_AFTER_MTF_BINDING | NOT_EVALUABLE,Recover exact evaluator/closure artifact from freeze backups/GitHub/Dropbox before implementation; do not recreate semantics.
MURPHY_0033,True,FROZEN_ARTIFACT_RECOVERY_REQUIRED,freeze/closure artifact not yet located in reconstructed workspace,EVALUATABLE_AFTER_MTF_BINDING | PARTIAL,Recover exact evaluator/closure artifact from freeze backups/GitHub/Dropbox before implementation; do not recreate semantics.
MURPHY_0034,True,FEATURE_RUNTIME_PRESENT_BINDING_REQUIRED,DMI_ADX_V1_OUTPUT,NOT_EVALUABLE | PARTIAL,Create adapter/evaluator binding from existing frozen semantics and existing feature module.
MURPHY_0035,True,FEATURE_RUNTIME_PRESENT_BINDING_REQUIRED,DMI_ADX_V1_OUTPUT,NOT_EVALUABLE | PARTIAL,Create adapter/evaluator binding from existing frozen semantics and existing feature module.
MURPHY_0036,True,FEATURE_RUNTIME_PRESENT_BINDING_REQUIRED,PARABOLIC_SAR_V1_OUTPUT,NOT_EVALUABLE,Create adapter/evaluator binding from existing frozen semantics and existing feature module.
MURPHY_0037,True,FEATURE_RUNTIME_PRESENT_BINDING_REQUIRED,OBV_V1_OUTPUT,PARTIAL,Create adapter/evaluator binding from existing frozen semantics and existing feature module.
MURPHY_0038,True,FEATURE_RUNTIME_PRESENT_BINDING_REQUIRED,OSCILLATOR_DIVERGENCE_V1_OUTPUT,NOT_EVALUABLE,Create adapter/evaluator binding from existing frozen semantics and existing feature module.
MURPHY_0039,True,FEATURE_RUNTIME_PRESENT_BINDING_REQUIRED,VOLUME_CONFIRMATION_V2_OUTPUT,PARTIAL,Create adapter/evaluator binding from existing frozen semantics and existing feature module.
MURPHY_0040,True,FROZEN_ARTIFACT_RECOVERY_REQUIRED,freeze/closure artifact not yet located in reconstructed workspace,NOT_EVALUABLE,Recover exact evaluator/closure artifact from freeze backups/GitHub/Dropbox before implementation; do not recreate semantics.
MURPHY_0041,True,FROZEN_ARTIFACT_RECOVERY_REQUIRED,freeze/closure artifact not yet located in reconstructed workspace,NOT_YET_EVALUABLE,Recover exact evaluator/closure artifact from freeze backups/GitHub/Dropbox before implementation; do not recreate semantics.
MURPHY_0042,True,FROZEN_ARTIFACT_RECOVERY_REQUIRED,freeze/closure artifact not yet located in reconstructed workspace,PARTIAL,Recover exact evaluator/closure artifact from freeze backups/GitHub/Dropbox before implementation; do not recreate semantics.
MURPHY_0043,True,FROZEN_ARTIFACT_RECOVERY_REQUIRED,freeze/closure artifact not yet located in reconstructed workspace,PARTIAL,Recover exact evaluator/closure artifact from freeze backups/GitHub/Dropbox before implementation; do not recreate semantics.
MURPHY_0044,True,FROZEN_ARTIFACT_RECOVERY_REQUIRED,freeze/closure artifact not yet located in reconstructed workspace,PARTIAL,Recover exact evaluator/closure artifact from freeze backups/GitHub/Dropbox before implementation; do not recreate semantics.
MURPHY_0045,True,FROZEN_ARTIFACT_RECOVERY_REQUIRED,freeze/closure artifact not yet located in reconstructed workspace,PARTIAL,Recover exact evaluator/closure artifact from freeze backups/GitHub/Dropbox before implementation; do not recreate semantics.
MURPHY_0047,True,FROZEN_ARTIFACT_RECOVERY_REQUIRED,freeze/closure artifact not yet located in reconstructed workspace,NOT_EVALUABLE,Recover exact evaluator/closure artifact from freeze backups/GitHub/Dropbox before implementation; do not recreate semantics.
MURPHY_0048,True,FROZEN_ARTIFACT_RECOVERY_REQUIRED,freeze/closure artifact not yet located in reconstructed workspace,NOT_EVALUABLE,Recover exact evaluator/closure artifact from freeze backups/GitHub/Dropbox before implementation; do not recreate semantics.
MURPHY_0049,True,FROZEN_ARTIFACT_RECOVERY_REQUIRED,freeze/closure artifact not yet located in reconstructed workspace,NOT_EVALUABLE,Recover exact evaluator/closure artifact from freeze backups/GitHub/Dropbox before implementation; do not recreate semantics.
MURPHY_0050,True,RUNTIME_VERIFIED,MURPHY_EVALUATORS_V1/murphy_0050_evaluator.py,NOT_EVALUABLE | PARTIAL,Bind evaluator output through Rule Adapter; no rule-semantic rewrite.
MURPHY_0051,True,FROZEN_ARTIFACT_RECOVERY_REQUIRED,freeze/closure artifact not yet located in reconstructed workspace,PARTIAL,Recover exact evaluator/closure artifact from freeze backups/GitHub/Dropbox before implementation; do not recreate semantics.
